id,title,handle,vendor,status,desc_len,has_tags,distributor_snippet
6173444243637,1196398ACC / T199361 Acc,1196398acc-t199361-acc,Flir,archived,0,0,0
4506137329706,24° Lens with Case (T199589),24-lens-with-case-t199589,Flir,active,202,1,0
4510580211754,A-Series Connection Board (T300268ACC),a-series-connection-board-t300268acc,Flir,active,205,1,0
4386524135466,A310 PT（automation）,a310-pt-automation,Flir,active,1310,0,0
6180874584245,A310PT,a310-p-t-15,Flir,active,590,0,0
8835313893614,A3xx - Ajuste de Calibración,a3xx-ajuste-de-calibracion,Flir,active,56,1,0
8835313959150,A3xx - Ajuste de Calibración Filtro Alta T°,a3xx-ajuste-de-calibracion-filtro-alta-talta-t,Flir,active,71,1,0
8835313926382,A3xx - Ajuste de Calibración Lente Extra,a3xx-ajuste-de-calibracion-lente-extra,Flir,active,68,1,0
8835314024686,A3xx - Hora de mantención Limpieza interior exterior,a3xx-hora-de-mantencion-limpieza-interior-exterior,Flir,active,80,1,0
8835313991918,A3xx - Revisión Equipo,a3xx-revision-equipo,Flir,active,50,1,0
4506164428842,Accessory Box II for Exx-Series (T199557ACC),accessory-box-ii-for-exx-series-t199557acc,Flir,active,0,1,0
9030375932142,Adaptador de montaje en esquina FLIR A500F/A700F,adaptador-de-montaje-en-esquina-flir-a500f-a700f,Flir,active,0,0,0
8926762762478,Adaptador de montaje en poste FLIR A500F/A700F,adaptador-de-montaje-en-poste,Flir,active,0,0,0
8926763745518,"Adaptador de poste Ø 210 mm, máx. 225 mm",adaptador-de-poste-o-210-mm-max-225-mm,Flir,active,0,0,0
8727264985326,Adaptador para Trípode FLIR T198486 - Compatible Cámaras Termográficas Serie E40/E50/E60,tripod-adapter-t198486,Flir,active,1577,1,0
8913666638062,ADVANCE IMAGEN STREAMING FLIR A70-50,imagen-streaming-flir-a70-copia,Flir,active,0,0,0
8835315957998,"AGEMA, PM-Series - Ajuste de Calibración",agema-pm-series-ajuste-de-calibracion,Flir,active,68,1,0
8835316023534,"AGEMA, PM-Series - Hora de mantención Limpieza interior exterior",agema-pm-series-hora-de-mantencion-limpieza-interior-exterior,Flir,active,92,1,0
8835315990766,"AGEMA, PM-Series - Revisión Equipo",agema-pm-series-revision-equipo,Flir,active,62,1,0
4475622326314,Agentase C2,agentase-c2,Flir,active,7480,1,0
4510570774570,Antenna for WLAN 2.45 GHz (T911850ACC),antenna-for-wlan-2-45-ghz-t911850acc,Flir,active,196,1,0
4506167083050,Aplicación FLIR InSite,aplicacion-flir-insite,Flir,active,833,1,0
4387335274538,ARIEL 3MP CORNER CAMERA,ariel-3mp-corner-camera,Flir,archived,2093,0,0
4387335831594,Ariel 4K UHD BULLET,ariel-4k-uhd-bullet,Flir,archived,2589,0,0
4387336519722,Ariel 4K UHD Mini-Dome,ariel-4k-uhd-mini-dome,Flir,archived,8881,0,0
4387336847402,ARIEL FULL HD BULLET,ariel-full-hd-bullet,Flir,archived,2296,0,0
4387337502762,ARIEL FULL HD MINI-DOME,ariel-full-hd-mini-dome,Flir,archived,1995,0,0
4387338059818,ARIEL QUAD HD BULLET,ariel-quad-hd-bullet,Flir,archived,2149,0,0
4387338485802,ARIEL QUAD HD MINI-DOME,ariel-quad-hd-mini-dome,Flir,archived,1897,0,0
8815623209198,"Batería FLIR  Serie GF3xx incluyendo la GF300, GF309 y GF320",bateria-flir-serie-gf3xx-incluyendo-la-gf300-gf309-y-gf320,Flir,active,502,0,0
4506175176746,"Batería Flir para E53, E75, E85 y E95",battery-t199330acc,Flir,active,991,1,0
6076593766581,Batería FLIR para T5XX,bateria-para-t5xx-t199300acc,Flir,active,101,1,0
8809577316590,"Batería FLIR T199361ACC para Cámaras Termográficas i40, i50, T4xx",bateria-para-camaras-flir-series-i40-i50-t4xx-legacy-n-º-de-parte-anterior-1196398acc,Flir,active,1010,1,0
8815623405806,"Batería FLIR T199376ACC para Cámaras Termográficas i3, i5, i7",bateria-flir-t199376acc-para-camaras-serie-i3-i5-i7-bateria-recargable-de-ion-de-litio-disenada-para-las-camaras-flir-i3-i5-e-i7,Flir,active,1298,1,0
4506338754602,"Batería Li-ion 3.6 V, 2.6 Ah, 9.4 Wh",battery-li-ion-3-6-v-2-6-ah-9-4-wh-t199362acc,Flir,active,55,1,0
8809577021678,Bateria para cámaras FLIR Series Pxx / P65 (Legacy),bateria-para-camaras-flir-series-pxx-p65-legacy,Flir,draft,58,0,0
8815622521070,"Batería Recargable FLIR T199183ACC - Compatible Cámaras Ópticas de Gas GF Series (GF77, GF300, GF320, GF620, GFx320)",bateria-flir-compatible-con-todas-las-camaras-flir-gf-incluye-gf300-gf320-gf620-gfx320-gf77-entre-otras,Flir,active,2036,1,0
8809577545966,Batería Recargable FLIR T199363ACC - Compatible Cámaras Termográficas E40 y E60 Legacy (Reemplaza T198487),baterias-para-camaras-flir-series-e40-y-e60-legacy-n-de-parte-anterior-t198487,Flir,active,2063,1,0
8039650885870,Batería Recargable FLIR T199364ACC - Cámaras Termográficas T6xx y T1020 Series,bateria-camaras-flir-series-t6xx-t1020-t199364acc,Flir,active,2130,1,0
8815625208046,"Batería Recargable FLIR T199423ACC para Cámaras Serie K (K33, K45, K53, K55, K65)",bateria-flir-para-camaras-serie-kx-utilizadas-en-operaciones-de-emergencia-y-combate-contra-incendios,Flir,active,1917,1,0
8815624945902,Batería T199369ACC,bateria-t199369acc,Flir,archived,0,0,0
4506175504426,Battery Charger (T199425ACC),battery-charger-t199425acc,Flir,active,113,1,0
6174735827125,"Battery charger, incl. power supply with multi plugs (T197692)",t197692,Flir,active,110,0,0
8921888227566,Bisagra doble para carcasa IP67/IP69,bisagra-doble-para-carcasa-ip67-ip69,Flir,active,0,0,0
4506176159786,Bluetooth Headset (T197771ACC),bluetooth-headset-t197771acc,Flir,active,92,1,0
4507813609514,Bolso Nylon cámaras T5xx / T8xx / GF77 – (P/N T198495),nylon-pouch-with-shoulder-strap-t198495,Flir,active,166,1,0
6753906655413,Bolso para accesorios generales (TA12),bolso-para-accesorios-generales-ta12,Flir,active,746,1,0
6753911931061,Bolso Para TG (TA13),bolso-para-tg-ta13,Flir,active,612,1,0
6753902395573,Bolso Protector para DM9x y TA7x (TA10-F),bolso-protector-para-dm9x-y-ta7x-ta10-f,Flir,active,848,1,0
6753936507061,Bolso Serie EX - EXT - EXPro,bolso-serie-ex-exx-t911689acc-1,Flir,active,469,1,0
6753931198645,Bolso Universal (TA15),bolso-universal-ta15,Flir,active,573,1,0
8835315368174,C2/C3 - Ajuste de Calibración,c2-c3-ajuste-de-calibracion,Colvin,active,57,1,0
8835315466478,C2/C3 - Hora de mantención Limpieza interior exterior,c2-c3-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,81,1,0
8835315433710,C2/C3 - Revisión Equipo,c2-c3-revision-equipo,Colvin,active,51,1,0
8891077132526,Cable de alimentación de radar a Pamp/T 10 metro R20SS,cable-de-alimentacion-de-radar-a-pamp-t-10-metro-r20ss,Flir,draft,0,0,0
8871107494126,Cable Ethernet - M12 a RJ45 2 metros,cable-ethernet-m12-a-rj45-2-metros,Flir,active,85,0,0
8911889367278,"Cable Ethernet M12 a RJ45, 10 m",flir-a70-is-95-89995-0101-copia-1,Flir,active,0,0,0
8913695015150,"Cable M12 a pigtail, 10 m",cable-m12-a-pigtail-10-m,Flir,active,0,0,0
4510579818538,"Cable M12 to pigtail, 10 m (T911853ACC)",cable-m12-to-pigtail-10-m-t911853acc,Flir,active,847,1,0
4510573690922,"Cable M12 to pigtail, 2 m (T911852ACC)",cable-m12-to-pigtail-2-m-t911852acc,Flir,active,229,1,0
8891133001966,"Cable power AC outdoor 15 m, US type",g009098n-15-cable-power-ac-outdoor-15-m-u,Flir,active,0,1,0
8891073167598,Cable Radar Pigtail 16''/40cm,cable-radar-pigtail-16-40cm,Flir,active,154,0,0
8891133296878,CABLE/SHORT PTH – JPC3,g012968-cableshort-pth-jpc3,Flir,active,0,1,0
8835314778350,Calibración Lente Extra – Series FLIR Exx,e75-85-95-ajuste-de-calibracion-lente-extra,Colvin,active,75,1,0
9055481069806,Calibración Profesional Certificada FLIR,calibracion-profesional-flir-10-de-descuento,Flir,active,2386,1,0
9055482314990,Calibración Profesional FLIR + 1 Lente Adicional Gratis,calibracion-profesional-flir-lente-gratis,Flir,active,1959,1,0
8821433827566,Calibración T10XX,calibracion-t10xx,Flir,active,0,0,0
4387378495530,Cámara COROCAM 6D,corocam-6d,Flir,archived,3732,0,0
8630993289454,Cámara de Efecto Corona CoroCAM® UVS - Detección UV Solar-Blind para Inspección de Alta Tensión,corocam-®-uvs,UVIRCO,active,2122,1,0
4387339337770,CÁMARA FIJA QUASAR 4K,camara-fija-quasar-4k,Flir,archived,8081,0,0
4386371174442,Cámara FLIR E53/24°,flir-e53,Flir,active,4157,1,0
8888476958958,Cámara FLIR FC-610 AI -,camara-flir-fc-610-ai,Flir,active,0,0,0
9150989861102,Cámara FLIR Quasar™ CF-6408 Ultra HD para Baja Iluminación,camara-flir-quasar™-cf-6408-ultra-hd-para-baja-iluminacion,FLIR,active,158,1,0
9150990745838,Cámara Mini-Domo 4K FLIR Ariel CM-3508-11-I con Análisis de Video,camara-mini-domo-4k-flir-ariel-cm-3508-11-i-con-analisis-de-video,FLIR,active,652,1,0
8913686528238,CAMARA MSX MODULO AXX Y AXXX,camara-msx-modulo-a50-a70,Flir,active,1423,0,0
8809566470382,Cámara Multiespectral CoroCAM® 8HD UVS para Drones - Corona UV Solar-Blind + Térmica + HD Visual,corocam-8hd-uvs,UVIRCO,active,2342,1,0
4387340222506,CÁMARA QUASAR 4K IR PTZ,camara-quasar-4k-ir-ptz,Flir,archived,9812,0,0
8823368122606,Camara Termografica 1,item-de-prueba,Flir,active,0,0,0
8828248162542,Cámara Termográfica de Prueba 2,item-de-prueba-2,Flir,draft,0,0,0
4386306588714,Cámara Termográfica Detección de Gas FLIR G300 A Series - OGI Profesional,camara-deteccion-gas-flir-g300-a-series-ogi-profesional,Flir,active,2030,0,0
8597808349422,Cámara Termográfica Detección de Gas FLIR G304 - OGI Portátil,camara-deteccion-gas-flir-g304-ogi-portatil,Flir,active,1802,1,0
8809549136110,Cámara Termográfica Detección de Gas FLIR G306 14.5° - OGI,camara-deteccion-gas-flir-g306-14-5-ogi,Flir,active,1755,1,0
8809560735982,Cámara Termográfica Detección de Gas FLIR G306 24° - OGI,camara-deteccion-gas-flir-g306-24-ogi,Flir,active,1798,1,0
